X,Y,XMin,YMin,XMax,YMax,Scale,MaxAllowableOffset,Service,Token
1750178.2132501602,5699139.94990015,1749566.7182469228,5698681.3286477225,1750789.7082533976,5699598.571152578,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1389207.1251502037,4945930.927350044,1388595.6301469663,4945472.306097616,1389818.620153441,4946389.548602472,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1321341.3349499702,4955781.6034498215,1320729.8399467329,4955322.982197394,1321952.8299532076,4956240.224702249,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1637636.4503498077,5387319.965750217,1637024.9553465704,5386861.34449779,1638247.9453530451,5387778.587002645,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1829381.1153497696,5695504.265100002,1828769.6203465322,5695045.6438475745,1829992.610353007,5695962.88635243,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1531687.2146000862,5481170.910349846,1531075.7195968488,5480712.289097418,1532298.7096033236,5481629.531602274,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1159511.1255002022,5000844.800749779,1158899.6304969648,5000386.179497351,1160122.6205034396,5001303.422002207,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1500795.0791502,5243641.460050106,1500183.5841469625,5243182.838797678,1501406.5741534373,5244100.081302534,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1862041.310450077,5844197.541600227,1861429.8154468397,5843738.9203478,1862652.8054533144,5844656.162852655,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1537990.1186499596,5412681.52974987,1537378.6236467222,5412222.9084974425,1538601.613653197,5413140.151002298,4514,1.1943261781979164,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
