X,Y,XMin,YMin,XMax,YMax,Scale,MaxAllowableOffset,Service,Token
1597722.5148000717,5362666.130949974,1595276.5347868514,5360831.645940059,1600168.494813292,5364500.615959889,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1545911.7110500336,5393290.37804985,1543465.7310368132,5391455.893039935,1548357.691063254,5395124.863059766,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1253746.1006999016,4859518.367849827,1251300.1206866812,4857683.882839912,1256192.080713122,4861352.852859742,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1970219.6339001656,5730811.14620018,1967773.6538869452,5728976.661190265,1972665.613913386,5732645.631210095,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1235853.8270998,5004362.941249847,1233407.8470865798,5002528.456239932,1238299.8071130204,5006197.426259763,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1934781.8680500984,5726963.622600079,1932335.888036878,5725129.137590163,1937227.8480633188,5728798.107609994,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1536455.1437001228,5245187.628799915,1534009.1636869025,5243353.14379,1538901.1237133432,5247022.1138098305,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1923316.1172499657,5701986.157149792,1920870.1372367453,5700151.6721398765,1925762.097263186,5703820.642159707,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/NZ_Base_Data_Fire_Station_Locations_2008/FeatureServer/0,
1507011.748700142,5141568.601200104,1504565.7686869216,5139734.116190189,1509457.7287133622,5143403.086210019,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
1622489.3456001282,5262732.646450043,1620043.3655869078,5260898.1614401275,1624935.3256133485,5264567.131459958,18056,4.777304713320833,services.arcgis.com/XTtANUDT8Va4DLwI/arcgis/rest/services/New_Zealand_Schools/FeatureServer/0,
